stage,trial,metric_scope,prediction_horizon_min,test_rows,target_mean,mae,relative_mae,r2,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda
optuna,11,validation,90.0,9989,0.23830317805463633,0.044580978359636175,0.1870767260578245,0.8833345463189777,1200,10,0.03444921750869451,0.9,0.95,7,0.1,2.0
optuna,11,validation,120.0,9948,0.24625713515464295,0.05192090666962096,0.2108402123537091,0.8662848893680404,1200,10,0.03444921750869451,0.9,0.95,7,0.1,2.0
optuna,12,validation,5.0,10033,0.24673761397355856,0.014420784173505731,0.058445828105686076,0.9715188490375501,800,8,0.011276360141640473,0.85,0.9,3,1.0,1.0
optuna,12,validation,10.0,10226,0.24492056776600468,0.018735720437833815,0.07649712969689743,0.9502107474832184,800,8,0.011276360141640473,0.85,0.9,3,1.0,1.0
optuna,12,validation,15.0,10050,0.24787172644001382,0.019653282619058476,0.07928811769427307,0.9578166589228265,800,8,0.011276360141640473,0.85,0.9,3,1.0,1.0
optuna,12,validation,20.0,10014,0.24464012772246985,0.021204283368817058,0.08667540998372965,0.9542114684937838,800,8,0.011276360141640473,0.85,0.9,3,1.0,1.0
optuna,12,validation,30.0,10182,0.24292622524049884,0.025652953279327793,0.10559976904070843,0.940447768488262,800,8,0.011276360141640473,0.85,0.9,3,1.0,1.0
optuna,12,validation,45.0,10105,0.24047493207258544,0.030458749178258002,0.1266608079093428,0.9247297665122972,800,8,0.011276360141640473,0.85,0.9,3,1.0,1.0
optuna,12,validation,60.0,10084,0.24538690556167989,0.036235058327313364,0.14766500373918853,0.9088908259765274,800,8,0.011276360141640473,0.85,0.9,3,1.0,1.0
optuna,12,validation,90.0,9989,0.23830317805463633,0.043972223976418714,0.18452218864801334,0.8857041024495059,800,8,0.011276360141640473,0.85,0.9,3,1.0,1.0
optuna,12,validation,120.0,9948,0.24625713515464295,0.050824781364164545,0.2063890710506639,0.8721070099671985,800,8,0.011276360141640473,0.85,0.9,3,1.0,1.0
optuna,13,validation,5.0,10033,0.24673761397355856,0.014244232324127812,0.057730283173015866,0.9703140694684345,800,10,0.01458945422899899,0.95,0.75,1,1.0,2.0
optuna,13,validation,10.0,10226,0.24492056776600468,0.01879882907751409,0.076754799521265,0.9486696158923887,800,10,0.01458945422899899,0.95,0.75,1,1.0,2.0
optuna,13,validation,15.0,10050,0.24787172644001382,0.0199686135279739,0.08056027129341194,0.9563326945590057,800,10,0.01458945422899899,0.95,0.75,1,1.0,2.0
optuna,13,validation,20.0,10014,0.24464012772246985,0.02135003033126244,0.08727117063756124,0.9534626118204315,800,10,0.01458945422899899,0.95,0.75,1,1.0,2.0
optuna,13,validation,30.0,10182,0.24292622524049884,0.026019596141107573,0.10710904561805944,0.9384709192074531,800,10,0.01458945422899899,0.95,0.75,1,1.0,2.0
optuna,13,validation,45.0,10105,0.24047493207258544,0.030482062840134366,0.1267577563175425,0.9246101046867401,800,10,0.01458945422899899,0.95,0.75,1,1.0,2.0
optuna,13,validation,60.0,10084,0.24538690556167989,0.035939758130025166,0.14646159723869795,0.909284599528406,800,10,0.01458945422899899,0.95,0.75,1,1.0,2.0
