stage,trial,metric_scope,prediction_horizon_min,test_rows,target_mean,mae,relative_mae,r2,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda
stage1,12,validation,45.0,10105,0.24047493207258544,0.031637520261375854,0.1315626539061723,0.9226931547576145,300,4,0.08,0.7,0.85,10,0.01,5.0
stage1,12,validation,60.0,10084,0.24538690556167989,0.03757391729106764,0.1531211178732728,0.9067236220319653,300,4,0.08,0.7,0.85,10,0.01,5.0
stage1,12,validation,90.0,9989,0.23830317805463633,0.04482705466766065,0.18810934471626325,0.883552577070171,300,4,0.08,0.7,0.85,10,0.01,5.0
stage1,12,validation,120.0,9948,0.24625713515464295,0.050689473827064666,0.2058396147394187,0.8702153414667174,300,4,0.08,0.7,0.85,10,0.01,5.0
stage1,13,validation,5.0,10033,0.24673761397355856,0.014681371254973576,0.059501958451081124,0.9713589733297981,500,6,0.06,1.0,0.85,3,1.0,5.0
stage1,13,validation,10.0,10226,0.24492056776600468,0.01949727339032778,0.07960651719930412,0.9490498924047029,500,6,0.06,1.0,0.85,3,1.0,5.0
stage1,13,validation,15.0,10050,0.24787172644001382,0.020212916864871828,0.08154587517977148,0.9573407100210127,500,6,0.06,1.0,0.85,3,1.0,5.0
stage1,13,validation,20.0,10014,0.24464012772246985,0.021846280621275117,0.08929966160767569,0.9541426112386506,500,6,0.06,1.0,0.85,3,1.0,5.0
stage1,13,validation,30.0,10182,0.24292622524049884,0.025976536078027766,0.10693178989757403,0.9400851568002593,500,6,0.06,1.0,0.85,3,1.0,5.0
stage1,13,validation,45.0,10105,0.24047493207258544,0.030802324964876542,0.12808954637974118,0.9237598442330126,500,6,0.06,1.0,0.85,3,1.0,5.0
stage1,13,validation,60.0,10084,0.24538690556167989,0.037112330399741295,0.151240060323483,0.9074580818908862,500,6,0.06,1.0,0.85,3,1.0,5.0
stage1,13,validation,90.0,9989,0.23830317805463633,0.044662318669299934,0.18741805725754987,0.884049499195763,500,6,0.06,1.0,0.85,3,1.0,5.0
stage1,13,validation,120.0,9948,0.24625713515464295,0.0512837405866732,0.20825281084533193,0.8716303919928958,500,6,0.06,1.0,0.85,3,1.0,5.0
stage1,14,validation,5.0,10033,0.24673761397355856,0.014694167820851915,0.05955382150378825,0.9713617150152326,500,8,0.02,0.7,1.0,5,0.01,5.0
stage1,14,validation,10.0,10226,0.24492056776600468,0.01905786504013379,0.07781243206304149,0.949804187984772,500,8,0.02,0.7,1.0,5,0.01,5.0
stage1,14,validation,15.0,10050,0.24787172644001382,0.01969124350094603,0.07944126497909154,0.9579626771107138,500,8,0.02,0.7,1.0,5,0.01,5.0
stage1,14,validation,20.0,10014,0.24464012772246985,0.02132633944389426,0.0871743308934492,0.9544188895473706,500,8,0.02,0.7,1.0,5,0.01,5.0
stage1,14,validation,30.0,10182,0.24292622524049884,0.025731616317383944,0.10592358355673392,0.940494380486117,500,8,0.02,0.7,1.0,5,0.01,5.0
stage1,14,validation,45.0,10105,0.24047493207258544,0.030464751961267404,0.126685770107929,0.9249051956400238,500,8,0.02,0.7,1.0,5,0.01,5.0
stage1,14,validation,60.0,10084,0.24538690556167989,0.03637821302642346,0.14824838735039803,0.9090837022634063,500,8,0.02,0.7,1.0,5,0.01,5.0
stage1,14,validation,90.0,9989,0.23830317805463633,0.04404066545880996,0.18480939204559269,0.885218602865337,500,8,0.02,0.7,1.0,5,0.01,5.0
stage1,14,validation,120.0,9948,0.24625713515464295,0.05074999142050049,0.20608536434337563,0.8720365668150935,500,8,0.02,0.7,1.0,5,0.01,5.0
stage1,15,validation,5.0,10033,0.24673761397355856,0.014545570211084474,0.05895157198303473,0.9701875028801479,300,8,0.04,1.0,0.7,1,1.0,3.0
stage1,15,validation,10.0,10226,0.24492056776600468,0.01903701740240467,0.07772731206712086,0.9484838096251823,300,8,0.04,1.0,0.7,1,1.0,3.0
stage1,15,validation,15.0,10050,0.24787172644001382,0.01997056302897353,0.08056813625254877,0.9567550480928786,300,8,0.04,1.0,0.7,1,1.0,3.0
stage1,15,validation,20.0,10014,0.24464012772246985,0.021278750355370454,0.08697980398174895,0.9533561961904726,300,8,0.04,1.0,0.7,1,1.0,3.0
stage1,15,validation,30.0,10182,0.24292622524049884,0.025999829195104993,0.10702767545729146,0.9388748152387039,300,8,0.04,1.0,0.7,1,1.0,3.0
stage1,15,validation,45.0,10105,0.24047493207258544,0.03065793680454883,0.12748911722447218,0.9238756779192873,300,8,0.04,1.0,0.7,1,1.0,3.0
stage1,15,validation,60.0,10084,0.24538690556167989,0.036475727813377934,0.1486457793250483,0.907846456367149,300,8,0.04,1.0,0.7,1,1.0,3.0
stage1,15,validation,90.0,9989,0.23830317805463633,0.04437824170459326,0.18622597510813957,0.8838353812030538,300,8,0.04,1.0,0.7,1,1.0,3.0
stage1,15,validation,120.0,9948,0.24625713515464295,0.05096157074238293,0.2069445448164595,0.871991801056126,300,8,0.04,1.0,0.7,1,1.0,3.0
stage1,16,validation,5.0,10033,0.24673761397355856,0.014951817755342437,0.06059804792043071,0.972009124569563,800,6,0.04,1.0,0.7,10,0.0,10.0
stage1,16,validation,10.0,10226,0.24492056776600468,0.019938627872797408,0.08140854830879955,0.949243029839262,800,6,0.04,1.0,0.7,10,0.0,10.0
stage1,16,validation,15.0,10050,0.24787172644001382,0.02052990956592304,0.08282473302130075,0.9578659217567091,800,6,0.04,1.0,0.7,10,0.0,10.0
stage1,16,validation,20.0,10014,0.24464012772246985,0.021851659959477524,0.08932165038871699,0.9546044019763935,800,6,0.04,1.0,0.7,10,0.0,10.0
